Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAN.JK,Makmur Berkah Amanda Tbk PT,Indonesia,102.00,120.00,705.00,525.00,312.00,"3,873,500,000.00","3,873,500,000.00","3,873,500,000.00","3,873,500,000.00","3,873,500,000.00","1,334,801,136,000.00","1,085,440,454,000.00","966,109,133,000.00","861,888,870,000.00","799,397,510,000.00","568,562,205,000.00","375,900,801,000.00","313,827,161,000.00","242,578,454,000.00","208,345,614,000.00",5.8%,6.6%,4.3%,3.5%,2.5%
AMAR.JK,Bank Amar Indonesia PT,Indonesia,191.00,320.00,232.00,260.39,190.59,"18,013,673,305.00","18,173,312,360.00","20,593,392,818.91","11,972,902,801.69","11,972,902,801.69","4,867,670,000,000.00","4,379,417,000,000.00","4,505,045,609,000.00","5,203,044,896,000.00","4,057,988,611,000.00","1,528,286,000,000.00","1,083,948,000,000.00","1,328,846,199,000.00","4,136,460,660,000.00","2,990,957,836,000.00",5.9%,5.0%,-4.2%,0.0%,0.7%
AMFG.JK,Asahimas Flat Glass Tbk PT,Indonesia,"4,290.00","5,900.00","5,550.00","4,440.00","2,700.00","434,000,000.00","434,000,000.00","434,000,000.00","434,000,000.00","434,000,000.00","7,271,566,000,000.00","7,500,664,000,000.00","7,466,520,000,000.00","7,403,476,000,000.00","7,961,657,000,000.00","2,778,081,000,000.00","3,259,927,000,000.00","3,746,348,000,000.00","4,110,107,000,000.00","5,031,820,000,000.00",4.3%,10.1%,7.6%,4.9%,-5.6%
AMIN.JK,Ateliers Mecaniques D'Indonesie Tbk PT,Indonesia,139.00,160.00,105.00,190.00,256.00,"1,080,000,000.00",,"1,080,000,000.00","1,080,000,000.00","1,080,000,000.00","302,507,741,513.00",,"323,052,524,991.00","311,496,780,738.00","350,375,482,319.00","120,612,739,232.00",,"168,880,405,973.00","165,028,829,275.00","209,059,609,099.00",5.5%,4.5%,2.4%,1.7%,-14.7%
AMMN.JK,Amman Mineral Internasional Tbk PT,Indonesia,"8,475.00","6,550.00",,,,"72,518,217,656.00","72,518,217,656.00","71,915,881,656.00","71,915,881,656.00","71,915,881,656.00","178,944,741,920,000.00","140,049,130,935,000.00","101,156,296,835,000.00","74,142,507,750,000.00","66,810,126,240,000.00","94,497,985,920,000.00","68,684,915,660,000.00","44,977,557,900,000.00","38,592,933,000,000.00","36,553,968,360,000.00",9.1%,7.7%,24.1%,8.8%,
AMMS.JK,Agung Menjangan Mas Tbk PT,Indonesia,41.00,40.00,43.00,,,"1,200,000,000.00","1,200,000,000.00","1,200,000,000.00","1,200,000,000.00",,"71,392,198,420.00","70,576,821,910.00","47,276,471,688.00","48,818,419,952.00",,"2,604,357,353.00","2,010,325,612.00","1,143,605,360.00","9,398,812,886.00",,0.4%,3.3%,1.7%,,
AMOR.JK,Ashmore Asset Management Indonesia PT,Indonesia,685.00,980.00,"1,335.00","1,870.00","1,455.00","2,211,322,900.00","2,213,546,700.00","2,218,097,200.00","2,222,222,400.00","2,222,222,400.00","377,227,000,000.00","360,367,000,000.00","393,081,000,000.00","393,127,594,206.00","336,398,988,799.00","77,946,000,000.00","69,806,000,000.00","83,581,000,000.00","80,948,190,256.00","50,845,571,299.00",35.6%,31.0%,38.4%,34.5%,46.6%
AMRT.JK,Sumber Alfaria Trijaya Tbk PT,Indonesia,"2,850.00","2,930.00","2,650.00","1,215.00",800.00,"41,524,501,700.00","41,524,501,700.00","41,524,501,700.00","41,524,501,700.00","41,524,501,700.00","38,798,382,000,000.00","34,246,183,000,000.00","30,746,266,000,000.00","27,370,210,000,000.00","25,970,743,000,000.00","21,102,439,000,000.00","18,540,983,000,000.00","19,275,574,000,000.00","17,942,427,000,000.00","18,334,415,000,000.00",11.1%,13.3%,12.4%,9.2%,5.6%
ANDI.JK,Andira Agro Tbk PT,Indonesia,6.00,50.00,50.00,50.00,53.00,"9,350,000,000.00","9,350,000,000.00","9,350,000,000.00","9,350,000,000.00","9,350,000,000.00","350,160,565,915.00","378,135,050,642.00","444,210,370,402.00","482,681,352,132.00","479,224,284,289.00","190,381,893,443.00","195,395,707,177.00","205,516,461,751.00","233,415,595,104.00","228,540,995,073.00",-6.2%,-16.1%,-2.6%,-1.2%,-2.9%
ANJT.JK,Austindo Nusantara Jaya Tbk PT,Indonesia,715.00,745.00,665.00,990.00,735.00,"3,354,175,000.00","3,354,175,000.00","3,333,204,088.00","3,314,373,888.00","3,311,505,388.00","9,222,856,688,210.00","9,453,642,442,700.00","9,379,320,727,810.00","9,194,201,260,500.00","8,931,459,120,480.00","2,917,293,137,230.00","2,905,753,552,915.00","2,778,030,055,460.00","3,125,750,496,000.00","3,375,025,856,280.00",3.4%,2.0%,5.5%,8.6%,2.4%
ANTM.JK,Aneka Tambang Tbk PT,Indonesia,"1,525.00","1,705.00","1,985.00","2,250.00","1,935.00","24,030,764,725.00","24,030,764,725.00","24,030,764,725.00","24,030,764,725.00","24,030,764,725.00","44,522,645,000,000.00","42,851,329,000,000.00","33,637,271,000,000.00","32,916,154,000,000.00","31,729,512,995,000.00","12,323,139,000,000.00","11,685,659,000,000.00","9,925,211,000,000.00","12,079,056,000,000.00","12,690,063,970,000.00",9.0%,7.6%,12.9%,8.0%,4.9%
