Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTMR.JK,PT Master Print Tbk,Indonesia,129.00,,,,,"1,907,000,000.00","1,907,000,000.00","1,907,000,000.00","1,907,000,000.00",,"159,592,481,736.00","122,830,729,811.00","63,733,900,868.00","39,887,071,904.00",,"60,397,809,377.00","83,428,937,755.00","30,428,568,276.00","12,873,975,693.00",,7.0%,13.0%,16.6%,,
PTPP.JK,Pembangunan Perumahan (Persero) Tbk PT,Indonesia,336.00,428.00,715.00,990.00,"1,865.00","6,185,341,454.00","6,185,341,454.00","6,185,341,454.00","6,185,341,454.00","6,185,341,454.00","56,589,716,015,594.00","56,525,042,574,560.00","57,612,383,140,536.00","55,573,843,735,084.00","53,408,823,346,707.00","41,334,800,497,742.00","41,381,651,241,881.00","42,791,330,842,175.00","41,243,694,054,027.00","39,502,879,486,412.00",1.5%,1.1%,1.5%,1.8%,1.4%
PTPS.JK,Pulau Subur Tbk PT,Indonesia,77.00,152.00,,,,"2,167,500,000.00","2,167,500,000.00","2,167,500,000.00","2,167,500,000.00","2,167,500,000.00","190,556,840,023.00","168,911,551,579.00","73,063,082,134.00","91,603,531,697.00","70,262,986,722.00","5,411,730,963.00","6,175,450,962.00","19,043,277,939.00","17,308,149,098.00","11,307,621,240.00",18.7%,27.0%,42.4%,26.0%,
PTPW.JK,Pratama Widya Tbk PT,Indonesia,860.00,975.00,900.00,725.00,"1,075.00","878,187,500.00","878,187,500.00","878,187,500.00","878,187,500.00","878,187,500.00","731,052,503,381.00","700,196,420,981.00","584,467,532,735.00","540,852,700,018.00","435,830,715,625.00","101,827,715,999.00","99,397,692,640.00","70,284,787,092.00","106,962,915,693.00","54,148,326,445.00",5.0%,17.3%,15.8%,12.8%,9.4%
PTRO.JK,Petrosea Tbk PT,Indonesia,"2,762.50",525.00,433.00,217.00,193.00,"10,086,050,000.00","9,916,645,000.00","991,664,500.00","991,664,000.00","991,664,000.00","13,954,293,850,000.00","11,206,713,275,000.00","9,283,277,300,000.00","7,591,488,000,000.00","7,436,819,520,000.00","9,935,816,350,000.00","7,579,189,425,000.00","4,645,047,385,000.00","3,883,310,250,000.00","4,187,401,920,000.00",2.2%,3.1%,9.4%,8.1%,7.0%
PTSN.JK,Sat Nusapersada Tbk PT,Indonesia,197.00,244.00,192.00,234.00,232.00,"5,314,344,000.00","5,314,344,000.00","5,314,344,000.00","5,314,344,000.00","5,314,344,000.00","2,513,628,826,230.00","2,342,117,108,795.00","2,297,646,682,210.00","2,468,099,031,000.00","1,819,962,658,800.00","660,742,672,160.00","666,008,252,325.00","746,269,419,445.00","1,188,723,913,500.00","658,979,685,000.00",6.6%,9.6%,8.9%,5.0%,4.5%
PTSP.JK,Pioneerindo Gourmet International Tbk PT,Indonesia,865.00,"2,590.00","3,500.00","7,000.00","3,710.00","220,808,000.00","220,808,000.00","220,808,000.00","220,808,000.00","220,808,000.00","343,302,024,000.00","328,934,944,000.00","291,721,506,000.00","323,191,361,000.00","380,488,760,000.00","175,771,508,000.00","178,083,339,000.00","156,645,405,000.00","195,313,251,000.00","234,978,908,000.00",7.1%,5.9%,3.8%,-3.7%,-14.0%
PUDP.JK,Pudjiadi Prestige Tbk PT,Indonesia,236.00,292.50,176.00,169.00,115.00,"659,120,000.00","659,120,000.00","659,120,000.00","659,120,000.00","659,120,000.00","529,246,868,974.00","532,350,454,070.00","651,369,072,120.00","492,003,943,529.00","521,632,597,211.00","19,680,490,956.00","15,725,076,734.00","70,130,902,724.00","190,546,059,153.00","204,280,317,915.00",-0.6%,0.0%,50.8%,-2.9%,-3.6%
PURA.JK,Putra Rajawali Kencana Tbk,Indonesia,12.00,50.00,50.00,64.00,123.00,"6,301,930,902.00","6,301,930,902.00","6,057,226,083.00","5,862,780,409.00","5,656,328,465.00","616,102,019,394.00","579,886,971,947.00","538,468,361,481.00","481,497,710,848.00","453,512,469,841.00","112,081,707,345.00","81,653,675,338.00","70,381,067,277.00","40,209,635,669.00","42,333,171,356.00",1.2%,1.0%,1.5%,2.2%,2.6%
PURE.JK,Trinitan Metals and Minerals Tbk PT,Indonesia,51.00,51.00,51.00,79.00,228.00,"1,375,181,535.00","1,375,181,535.00","1,375,181,500.00","1,333,333,500.00","1,333,333,500.00","683,951,666,591.00","672,040,468,228.00","682,983,178,613.00","695,031,401,327.00","834,220,445,836.00","822,677,854,667.00","726,819,571,282.00","670,453,492,196.00","634,152,734,689.00","669,101,330,600.00",-14.8%,-11.7%,-11.8%,-14.9%,-4.7%
PURI.JK,Puri Global Sukses Tbk PT,Indonesia,278.00,200.00,228.00,394.00,298.00,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00","487,043,117,342.00","344,855,500,227.00","316,737,170,421.00","224,744,062,680.00","220,351,043,085.00","372,657,972,782.00","216,701,146,700.00","190,636,178,048.00","97,656,580,033.00","100,945,547,795.00",-3.3%,0.9%,0.7%,5.2%,5.3%
PWON.JK,Pakuwon Jati Tbk PT,Indonesia,398.00,454.00,456.00,464.00,510.00,"48,159,602,400.00","48,159,602,400.00","48,159,602,400.00","48,159,602,400.00","48,159,602,400.00","35,371,085,149,000.00","32,710,786,983,000.00","30,602,179,916,000.00","28,866,081,129,000.00","26,458,805,377,000.00","10,629,087,811,000.00","9,915,452,617,000.00","9,883,903,905,000.00","9,687,642,670,000.00","8,860,110,106,000.00",8.4%,8.7%,7.3%,6.7%,5.3%
PYFA.JK,Pyridam Farma Tbk PT,Indonesia,210.00,245.83,185.72,217.92,209.34,"11,236,680,000.00","2,492,221,704.70","2,492,221,704.70","2,492,221,704.70","2,492,221,704.70","5,811,090,528,790.00","1,527,269,430,976.00","1,520,568,653,644.00","806,221,575,272.00","228,575,380,866.00","4,771,544,419,392.00","1,170,209,726,997.00","1,078,211,166,403.00","639,121,007,816.00","70,943,630,711.00",-8.5%,-5.5%,22.6%,1.7%,14.1%
PZZA.JK,Sarimelati Kencana Tbk PT,Indonesia,113.00,370.00,540.00,680.00,810.00,"3,005,490,700.00","3,005,490,700.00","3,005,490,700.00","3,005,490,700.00","3,005,490,700.00","2,135,671,037,937.00","2,347,493,249,796.00","2,509,598,483,818.00","2,199,070,133,023.00","2,231,266,338,455.00","1,117,087,582,831.00","1,271,217,226,098.00","1,336,677,280,440.00","974,961,218,070.00","1,080,898,528,336.00",-4.4%,-4.1%,-1.1%,1.6%,-4.2%
RAAM.JK,Tripar Multivision Plus Tbk PT,Indonesia,310.00,575.00,,,,"6,813,620,000.00","6,194,200,000.00","6,194,200,000.00","6,194,200,000.00","6,194,200,000.00","1,715,577,980,381.00","1,428,635,799,299.00","1,104,766,017,676.00","1,160,137,297,550.00","1,122,293,481,619.00","385,052,499,316.00","202,245,024,967.00","191,958,413,520.00","340,799,943,543.00","331,729,060,721.00",-14.5%,10.6%,9.4%,2.6%,-3.7%
RAFI.JK,Sari Kreasi Boga PT Tbk,Indonesia,36.00,50.00,140.00,,,"3,128,090,000.00","3,128,090,000.00","3,128,090,000.00","3,128,090,000.00","3,128,090,000.00","425,715,941,604.00","254,609,746,202.00","75,128,471,181.00","25,784,035,973.00","17,539,041,696.00","74,634,683,938.00","28,924,929,502.00","27,434,794,869.00","10,307,621,996.00","7,914,849,095.00",39.7%,8.7%,36.0%,32.6%,
RAJA.JK,Rukun Raharja Tbk PT,Indonesia,"2,720.00","1,410.00","1,045.00",182.00,252.00,"4,227,082,500.00","4,227,082,500.00","4,227,082,500.00","4,227,082,500.00","4,227,082,500.00","5,331,432,103,310.00","5,059,537,930,560.00","4,054,753,709,875.00","3,499,602,666,000.00","2,339,682,293,520.00","2,566,163,175,020.00","2,680,359,437,590.00","1,983,742,797,795.00","1,716,681,768,000.00","609,300,240,120.00",13.4%,13.8%,5.1%,2.3%,2.7%
RALS.JK,Ramayana Lestari Sentosa Tbk PT,Indonesia,368.00,515.00,570.00,655.00,775.00,"5,931,263,500.00","5,969,879,600.00","6,219,604,000.00","6,330,041,300.00","6,742,484,400.00","4,956,361,000,000.00","4,894,919,000,000.00","5,235,114,000,000.00","5,077,856,000,000.00","5,285,218,000,000.00","1,379,603,000,000.00","1,317,460,000,000.00","1,506,638,000,000.00","1,454,231,000,000.00","1,566,474,000,000.00",7.2%,6.7%,8.2%,3.6%,-3.3%
RANC.JK,Supra Boga Lestari Tbk PT,Indonesia,470.00,670.00,815.00,"1,800.00",436.00,"1,564,487,500.00","1,564,487,500.00","1,564,487,500.00","1,564,487,500.00","1,564,487,500.00","1,197,109,086,000.00","1,247,187,872,000.00","1,354,418,637,499.00","1,512,036,014,160.00","1,319,134,443,995.00","875,045,588,000.00","947,996,997,000.00","928,180,973,526.00","1,004,972,007,389.00","774,629,825,055.00",1.3%,-9.5%,-6.0%,0.6%,8.3%
RATU.JK,Raharja Energi Cepu Tbk PT,Indonesia,,,,,,"2,715,053,800.00","2,715,053,800.00","2,715,053,800.00","2,715,053,800.00",,"849,943,807,590.00","884,825,423,515.00","224,953,115,805.00","204,280,647,000.00",,"409,079,416,590.00","461,124,880,105.00","45,228,559,090.00","40,106,767,500.00",,44.9%,91.3%,-5.1%,,
RBMS.JK,Ristia Bintang Mahkotasejati Tbk PT,Indonesia,29.00,50.00,50.00,82.00,50.00,"2,655,853,326.00","2,655,853,326.00","2,655,853,326.00","2,655,853,326.00","2,655,853,326.00","759,737,592,263.00","712,079,911,955.00","717,606,761,078.00","771,096,800,598.00","760,445,865,842.00","289,915,039,206.00","213,839,610,198.00","198,940,136,778.00","214,953,290,839.00","200,695,757,269.00",-3.5%,-2.6%,-4.9%,-2.9%,-5.6%
RCCC.JK,Utama Radar Cahaya Tbk PT,Indonesia,350.00,114.29,120.00,,,"787,500,000.00","787,500,787.50","787,500,787.50","787,500,787.50","787,500,787.50","115,588,586,366.00","88,069,161,715.00","62,606,211,819.00","13,223,866,335.00","8,623,303,604.00","69,021,928,481.00","45,366,760,486.00","23,363,724,274.00","3,505,967,603.00","1,935,122,299.00",5.1%,6.7%,13.1%,34.9%,
RDTX.JK,Roda Vivatex Tbk PT,Indonesia,"14,700.00","14,225.00","9,275.00","6,700.00","5,250.00","268,800,000.00","268,800,000.00","268,800,000.00","268,800,000.00","268,800,000.00","3,447,072,687,973.00","3,440,333,041,238.00","3,387,321,004,206.00","3,161,105,356,526.00","2,971,061,771,714.00","408,175,686,698.00","555,135,931,061.00","414,789,785,669.00","256,434,333,798.00","234,410,089,039.00",9.9%,10.5%,9.9%,7.8%,9.6%
REAL.JK,Repower Asia Indonesia Tbk PT,Indonesia,8.00,9.00,50.00,90.00,50.00,"6,633,610,151.00","6,633,610,151.00","6,633,610,151.00","6,633,610,151.00","6,633,610,151.00","378,048,908,296.00","352,934,080,004.00","352,269,524,066.00","353,731,723,320.00","352,590,228,523.00","2,205,433,705.00","1,247,287,259.00","814,437,215.00","2,492,305,309.00","2,608,820,964.00",6.7%,0.1%,0.1%,0.5%,0.4%
RELF.JK,Graha Mitra Asia Tbk PT,Indonesia,18.00,22.00,,,,"5,727,832,195.00","5,727,801,059.00","5,727,800,000.00","5,727,800,000.00",,"296,121,799,769.00","296,536,888,828.00","166,037,729,638.00","153,159,037,284.00",,"58,720,905,764.00","67,478,279,965.00","47,576,396,452.00","39,182,175,975.00",,4.0%,5.0%,3.1%,,
RELI.JK,Reliance Sekuritas Indonesia Tbk PT,Indonesia,630.00,600.00,675.00,444.00,324.00,"1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","733,126,404,746.00","758,808,075,462.00","729,118,589,473.00","660,311,259,078.00","686,015,928,397.00","123,907,498,293.00","128,931,972,407.00","132,227,797,068.00","180,228,132,616.00","205,545,942,758.00",3.1%,4.9%,6.1%,3.4%,5.9%
RGAS.JK,Kian Santang Muliatama PT Tbk,Indonesia,95.00,92.00,,,,"1,459,234,110.00","1,459,200,000.00","1,459,200,000.00","1,459,200,000.00","1,459,200,000.00","174,712,102,906.00","90,238,509,707.00","47,149,276,099.00","18,938,039,303.00","25,485,243,364.00","86,638,892,585.00","4,776,890,535.00","7,201,334,686.00","13,262,041,839.00","21,482,458,986.00",4.3%,12.2%,24.6%,9.6%,
RICY.JK,Ricky Putra Globalindo Tbk PT,Indonesia,68.00,111.00,83.00,94.00,114.00,"641,717,510.00","641,717,510.00","641,717,510.00","641,717,510.00","641,717,510.00","1,547,052,331,875.00","1,639,882,069,759.00","1,694,313,967,553.00","1,736,897,169,061.00","1,619,854,736,252.00","1,375,135,850,668.00","1,404,921,743,541.00","1,390,806,751,868.00","1,363,926,876,704.00","1,162,598,358,789.00",-3.8%,-4.0%,-3.6%,-4.4%,1.8%
RIGS.JK,Rig Tenders Indonesia Tbk PT,Indonesia,880.00,480.00,505.00,310.00,268.00,"609,130,000.00","609,130,000.00","609,130,000.00","609,130,000.00",,"774,124,347,310.00","698,659,351,251.00","648,509,542,780.00","616,505,190,000.00",,"15,921,041,511.00","19,547,133,209.00","31,773,604,805.00","50,946,306,432.00",,11.4%,9.9%,6.4%,,
RIMO.JK,Rimo International Lestari Tbk PT,Indonesia,50.00,50.00,50.00,50.00,50.00,"40,936,000,000.00","40,936,000,000.00","928,910,988.47","928,910,988.47","928,910,988.47","6,514,551,004,299.00","5,931,495,055,102.00","4,794,706,284,810.00","6,689,497,150,470.00","6,919,269,717.00","1,085,319,708,847.00","779,829,742,592.00","276,293,483,769.00","347,793,672,961.00","66,939,563,363.00",1.9%,1.5%,-35.7%,-0.1%,-70.1%
RISE.JK,Jaya Sukses Makmur Sentosa Tbk PT,Indonesia,"1,025.00",995.00,"1,100.00",382.00,424.00,"10,945,000,000.00","10,945,000,000.00","10,945,000,000.00","10,945,000,000.00","9,950,000,000.00","3,422,065,512,536.00","3,210,704,543,066.00","2,712,160,950,002.00","2,646,552,344,998.00","2,362,014,962,050.00","814,070,686,819.00","772,706,002,001.00","410,744,836,206.00","380,753,760,351.00","524,341,904,877.00",0.7%,0.4%,1.4%,1.6%,-1.8%
RMKE.JK,RMK Energy PT Tbk,Indonesia,498.00,595.00,940.00,222.00,,"4,375,000,000.00","4,375,000,000.00","4,375,000,000.00","6,000,000,000.00","4,375,000,000.00","2,371,411,904,925.00","2,247,694,981,530.00","1,676,835,378,416.00","1,400,383,315,761.00","915,091,775,431.00","642,242,858,297.00","762,862,475,597.00","470,171,083,609.00","597,676,439,665.00","492,835,422,654.00",15.2%,20.2%,33.5%,22.0%,9.9%
RMKO.JK,PT Royaltama Mulia Kontraktorindo Tbk,Indonesia,147.00,268.00,,,,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","550,332,964,707.00","535,183,229,316.00","231,283,343,646.00","260,127,992,289.00","73,451,205,676.00","322,744,788,589.00","288,924,684,839.00","114,742,058,960.00","212,668,402,660.00","25,731,788,568.00",-4.2%,6.1%,10.2%,-0.1%,
ROCK.JK,Rockfields Property Indonesia PT,Indonesia,278.00,380.00,272.00,705.00,910.00,"1,435,185,100.00","1,435,185,100.00","1,435,185,100.00","1,435,185,100.00","1,435,185,100.00","954,083,286,108.00","979,580,354,552.00","1,036,286,843,364.00","1,046,987,621,332.00","1,070,221,739,644.00","154,353,499,257.00","187,476,255,817.00","267,856,320,572.00","284,519,543,666.00","302,763,753,474.00",2.4%,2.2%,1.5%,0.2%,0.1%
RODA.JK,Pikko Land Development Tbk PT,Indonesia,39.00,50.00,57.00,88.00,51.00,"13,592,128,209.00","13,592,128,209.00","13,592,128,209.00","13,592,128,209.00","13,592,128,209.00","3,359,063,695,937.00","3,400,853,313,022.00","3,547,426,939,513.00","3,650,686,851,644.00","3,936,147,888,286.00","1,238,293,980,632.00","1,222,550,700,928.00","1,328,897,208,760.00","1,420,522,013,633.00","1,734,468,189,877.00",-1.7%,-0.8%,-0.5%,0.8%,-4.5%
RONY.JK,Aesler Grup Internasional Tbk PT,Indonesia,"1,815.00",306.00,800.00,800.00,180.00,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","7,221,102,585.00","8,753,273,270.00","8,085,010,235.00","38,673,105,126.00","40,638,021,905.00","640,698,432.00","4,018,962,104.00","3,509,846,564.00","6,709,380,428.00","5,742,678,983.00",24.4%,2.8%,-115.7%,-6.8%,-14.8%
ROTI.JK,Nippon Indosari Corpindo Tbk PT,Indonesia,970.00,"1,150.00","1,320.00","1,360.00","1,360.00","5,692,579,488.00","5,703,234,288.00","5,703,234,288.00","5,913,076,388.00","6,186,488,888.00","3,746,346,988,767.00","3,943,518,425,042.00","4,130,321,616,083.00","4,191,284,422,677.00","4,452,166,671,985.00","1,438,191,795,263.00","1,550,086,849,761.00","1,449,163,077,319.00","1,321,693,219,911.00","1,205,569,956,974.00",12.2%,10.6%,13.8%,8.8%,3.5%
RSCH.JK,Charlie Hospital Semarang PT,Indonesia,298.00,122.00,,,,"2,650,000,000.00","2,650,000,000.00","2,650,000,000.00","2,650,000,000.00","2,650,000,000.00","192,466,455,817.00","154,432,112,376.00","90,988,939,240.00","81,966,583,165.00","56,367,813,679.00","45,509,714,252.00","3,972,387,599.00","53,427,591,950.00","37,039,605,027.00","14,177,074,586.00",-2.4%,-1.1%,-10.3%,5.1%,
RSGK.JK,Kedoya Adyaraya Tbk PT,Indonesia,"1,000.00","1,255.00","1,205.00","1,705.00",,"929,675,000.00","929,675,000.00","929,675,000.00","929,675,000.00","929,675,000.00","887,627,583,015.00","828,796,348,621.00","893,687,906,620.00","945,453,743,993.00","753,761,959,068.00","89,166,677,119.00","77,633,860,984.00","78,153,729,326.00","101,234,516,099.00","262,972,170,346.00",6.6%,3.6%,4.8%,9.6%,2.2%
RUIS.JK,Radiant Utama Interinsco Tbk PT,Indonesia,167.00,194.00,224.00,206.00,274.00,"770,000,000.00","770,000,000.00","770,000,000.00","770,000,000.00","770,000,000.00","1,401,181,100,405.00","1,341,729,318,010.00","1,267,549,300,138.00","1,296,770,655,592.00","1,345,151,507,257.00","845,895,951,156.00","792,253,377,478.00","743,817,825,130.00","809,598,198,146.00","888,702,914,518.00",2.2%,2.5%,3.2%,2.7%,3.9%
RUNS.JK,Global Sukses Solusi Tbk PT,Indonesia,47.00,48.00,157.00,276.00,,"980,869,375.00","979,082,975.00","979,082,975.00","983,557,875.00","786,757,875.00","89,714,147,737.00","96,436,187,345.00","87,081,431,893.00","69,289,165,122.00","38,410,663,567.00","23,075,176,064.00","27,310,038,854.00","12,408,959,352.00","1,587,121,477.00","3,415,102,638.00",-3.0%,-6.8%,6.3%,-25.0%,43.1%
SAFE.JK,Steady Safe Tbk PT,Indonesia,198.00,350.00,222.00,220.00,188.00,"615,145,012.00","615,145,012.00","615,145,012.00","615,145,012.00","615,145,012.00","204,404,324,268.00","237,297,109,924.00","270,842,050,371.00","298,604,232,055.00","322,122,601,642.00","215,379,322,187.00","275,538,626,115.00","328,634,650,706.00","366,839,357,213.00","391,040,622,215.00",18.8%,10.2%,4.8%,0.5%,-4.7%
SAGE.JK,PT Saptausaha Gemilangindah Tbk,Indonesia,14.00,50.00,,,,"8,033,270,756.00","8,033,261,151.00","8,033,250,000.00","8,033,250,000.00","8,033,250,000.00","326,883,911,870.00","319,144,587,504.00","269,642,242,152.00","279,342,459,125.00","261,190,498,191.00","38,889,228,065.00","31,322,959,028.00","141,888,150,235.00","163,751,460,865.00","151,298,450,017.00",0.2%,1.8%,4.8%,2.3%,-1.7%
SAME.JK,Sarana Meditama Metropolitan Tbk PT,Indonesia,264.00,314.00,300.00,370.00,190.04,"17,147,132,545.00","17,138,382,545.00","17,129,632,545.00","17,129,632,545.00","9,065,554,174.64","5,558,310,470,082.00","5,364,778,080,980.00","5,140,003,882,433.00","4,946,600,190,312.00","2,994,549,714,196.00","1,420,059,986,016.00","1,381,159,562,628.00","1,156,985,901,945.00","503,613,551,949.00","1,469,906,124,313.00",0.7%,0.2%,0.3%,3.9%,-4.7%
SAMF.JK,Saraswanti Anugerah Makmur PT,Indonesia,387.50,372.50,235.00,547.50,199.00,"10,250,000,000.00","10,250,000,000.00","10,250,000,000.00","10,250,000,000.00","10,250,000,000.00","2,788,361,965,167.00","2,793,664,505,857.00","3,097,781,579,099.00","1,763,123,879,245.00","1,342,071,492,913.00","1,226,413,768,688.00","1,413,587,710,511.00","1,977,461,409,048.00","900,912,951,489.00","558,300,272,457.00",18.2%,18.2%,18.2%,14.1%,11.2%
SAPX.JK,Satria Antaran Prima Tbk PT,Indonesia,"1,490.00","1,190.00",740.00,"1,255.00","2,190.00","833,333,300.00","833,333,300.00","833,333,300.00","833,333,300.00","833,333,300.00","385,876,782,627.00","324,161,212,877.00","249,813,321,200.00","250,767,550,139.00","210,419,761,255.00","185,509,276,308.00","147,095,662,770.00","80,477,647,736.00","82,857,759,922.00","72,437,684,992.00",0.4%,0.4%,0.5%,23.0%,22.2%
SATU.JK,Kota Satu Properti Tbk PT,Indonesia,242.00,100.00,69.00,104.00,50.00,"1,375,000,000.00","1,375,000,000.00","1,375,000,000.00","1,375,000,000.00","1,375,000,000.00","213,399,356,789.00","230,354,151,220.00","237,976,127,863.00","259,460,424,796.00","260,603,289,007.00","164,440,882,118.00","173,099,766,963.00","176,861,233,353.00","190,320,812,142.00","174,423,102,954.00",-2.8%,-1.5%,-3.0%,-6.8%,-6.7%
SBAT.JK,Sejahtera Bintang Abadi Textile Tbk PT,Indonesia,1.00,9.00,50.00,50.00,129.00,"4,752,982,378.00","4,752,933,207.00","2,125,166,005.00","1,700,000,000.00","1,700,000,000.00","657,657,257,402.00","694,230,223,329.00","561,334,457,682.00","521,661,832,270.00","459,351,480,615.00","486,253,563,379.00","435,471,884,892.00","387,424,993,920.00","381,847,238,511.00","282,617,473,680.00",-12.5%,-9.0%,-0.5%,-11.2%,0.9%
SBMA.JK,Surya Biru Murni Acetylene Tbk PT,Indonesia,122.00,158.00,200.00,420.00,,"929,926,282.00","929,926,282.00","929,926,282.00","928,400,000.00","928,400,000.00","289,976,056,809.00","276,179,914,509.00","269,606,050,340.00","250,618,755,797.00","195,253,619,642.00","62,077,972,372.00","60,730,888,524.00","58,533,536,474.00","45,325,995,820.00","45,273,176,232.00",6.1%,2.8%,3.0%,4.3%,4.8%
SCCO.JK,Supreme Cable Manufacturing & Commerce Tbk PT,Indonesia,"2,170.00","2,050.00","2,162.50","2,600.00","2,625.00","822,333,600.00","822,333,600.00","822,333,600.00","822,333,600.00","822,333,600.00","5,702,138,963,030.00","5,329,800,918,271.00","5,128,133,329,237.00","4,696,875,916,384.00","3,743,659,818,718.00","331,653,018,017.00","392,506,174,822.00","397,471,639,920.00","287,129,440,938.00","469,705,217,664.00",6.8%,5.7%,3.1%,4.1%,7.5%
SCMA.JK,Surya Citra Media Tbk PT,Indonesia,167.00,170.00,206.00,326.00,458.00,"63,467,375,385.00","63,369,364,485.00","63,207,375,385.00","63,207,375,385.00","63,253,401,885.00","10,815,251,239,000.00","11,052,506,174,000.00","11,075,131,567,000.00","9,913,440,970,000.00","6,766,903,494,000.00","2,459,004,658,000.00","2,569,934,269,000.00","2,365,835,674,000.00","2,452,264,250,000.00","2,870,316,946,000.00",7.3%,3.8%,10.4%,20.7%,22.1%
SCNP.JK,Selaras Citra Nusantara Perkasa Tbk PT,Indonesia,161.00,218.00,232.00,226.00,256.00,"2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","2,500,000,000.00","411,410,159,846.00","409,627,129,448.00","482,237,445,446.00","535,415,794,488.00","465,425,972,956.00","47,187,141,249.00","56,188,660,089.00","95,713,374,381.00","144,281,159,191.00","67,665,257,866.00",3.2%,5.6%,-1.5%,-3.1%,-4.6%
SCPI.JK,Organon Pharma Indonesia Tbk PT,Indonesia,,,,,,"3,600,000.00","3,600,000.00","3,600,000.00","3,600,000.00","3,600,000.00","1,635,971,370,000.00","1,421,347,078,000.00","1,361,427,269,000.00","1,212,160,543,000.00","1,598,281,523,000.00","602,967,144,000.00","580,899,474,000.00","376,089,869,000.00","239,608,077,000.00","766,072,367,000.00",15.8%,17.2%,17.7%,11.8%,19.1%
SDMU.JK,Sidomulyo Selaras Tbk PT,Indonesia,26.00,50.00,70.00,68.00,57.00,"1,135,225,000.00","1,135,225,000.00","1,135,225,000.00","1,135,225,000.00","1,135,225,000.00","144,734,481,510.00","149,970,667,207.00","152,312,552,325.00","169,199,466,266.00","177,182,837,855.00","111,752,176,506.00","117,452,664,368.00","148,741,131,854.00","171,094,237,876.00","169,445,987,429.00",0.2%,20.7%,2.1%,-6.1%,-22.4%
SDPC.JK,Millennium Pharmacon International Tbk PT,Indonesia,132.00,158.00,332.00,136.00,104.00,"1,274,000,000.00","1,274,000,000.00","1,274,000,000.00","1,274,000,000.00","1,274,000,000.00","1,771,856,829,401.00","1,639,682,291,798.00","1,401,504,764,117.00","1,206,385,542,888.00","1,164,826,486,522.00","1,489,359,909,392.00","1,361,968,904,232.00","1,142,594,625,772.00","969,406,193,098.00","935,629,997,936.00",1.6%,3.2%,2.8%,1.5%,0.6%
SDRA.JK,Bank Woori Saudara Indonesia 1906 Tbk PT,Indonesia,416.00,541.06,545.85,541.06,700.81,"14,692,189,889.00","8,947,332,857.16","8,947,332,857.16","8,947,332,857.16","6,948,952,417.80","58,732,835,000,000.00","54,822,181,000,000.00","51,499,424,000,000.00","43,801,571,000,000.00","38,053,939,000,000.00","44,951,650,000,000.00","44,549,099,000,000.00","41,568,671,000,000.00","34,544,380,000,000.00","30,782,968,000,000.00",1.2%,1.7%,2.3%,2.0%,1.8%
SEMA.JK,Semacom Integrated Tbk PT,Indonesia,84.00,112.00,151.00,,,"1,347,258,842.00","1,347,258,842.00","1,347,115,522.00","1,347,000,000.00","1,347,000,000.00","268,072,344,066.00","285,132,935,909.00","233,256,998,781.00","190,079,229,490.00","141,036,289,254.00","105,192,426,459.00","127,097,595,342.00","88,414,355,167.00","112,632,896,026.00","83,348,502,302.00",2.2%,6.4%,6.7%,14.3%,2.4%
SFAN.JK,Surya Fajar Capital Tbk PT,Indonesia,"1,830.00","1,945.00","1,880.00","1,470.00","1,330.00","1,359,934,021.00","1,359,934,021.00","1,359,934,021.00","1,359,934,021.00","1,359,934,021.00","178,961,469,284.00","324,722,839,611.00","285,454,394,269.00","309,790,908,153.00","244,592,660,335.00","20,281,631,388.00","97,627,178,237.00","92,448,168,747.00","104,828,940,900.00","55,213,152,414.00",-21.7%,-6.7%,-7.8%,-6.8%,2.4%
SGER.JK,Sumber Global Energy Tbk PT,Indonesia,382.00,541.80,171.29,155.34,84.41,"15,586,909,438.00","15,586,913,235.71","14,143,725,676.43","14,127,584,846.25","13,996,548,866.57","4,638,206,457,168.00","4,519,310,426,697.00","3,370,495,011,962.00","1,237,084,547,855.00","685,999,877,295.00","2,397,070,273,304.00","3,037,542,632,520.00","2,358,362,130,045.00","802,902,534,546.00","450,307,372,275.00",17.7%,21.3%,32.5%,28.2%,6.1%
