Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
MTRA.JK,Mitra Pemuda Tbk PT,Indonesia,, 10.84 , 1.01 , 0.94 , 0.61 
MPOW.JK,MegaPower Makmur Tbk PT,Indonesia, 0.35 , 0.46 , 0.60 , 0.64 , 0.77 
WSBP.JK,Waskita Beton Precast Tbk PT,Indonesia,,,,,
BGTG.JK,Bank Ganesha Tbk PT,Indonesia, 0.00 , 0.01 , 0.01 , 0.01 , 0.03 
POWR.JK,Cikarang Listrindo Tbk PT,Indonesia, 0.71 , 0.71 , 0.78 , 0.78 , 0.81 
SHIP.JK,Sillo Maritime Perdana Tbk PT,Indonesia, 1.12 , 1.15 , 1.14 , 1.10 , 1.02 
JGLE.JK,Graha Andrasentra Propertindo Tbk PT,Indonesia, 0.15 , 0.09 , 0.09 , 0.24 , 0.23 
DAYA.JK,Duta Intidaya Tbk PT,Indonesia, 4.83 , 8.37 , 7.93 , 4.60 , 2.04 
OASA.JK,Maharaksa Biru Energi Tbk PT,Indonesia, 0.05 , 0.01 , 0.11 ,,
CASA.JK,Capital Financial Indonesia Tbk PT,Indonesia, 0.34 , 0.36 , 0.28 , 0.21 , 0.15 
AGII.JK,Samator Indo Gas Tbk PT,Indonesia, 0.97 , 0.93 , 1.08 , 1.20 , 0.99 
PRDA.JK,Prodia Widyahusada Tbk PT,Indonesia, 0.01 , 0.01 , 0.01 , 0.04 , 0.02 
PBSA.JK,Paramita Bangun Sarana Tbk PT,Indonesia, 0.02 , 0.01 , 0.00 , 0.07 , 0.01 
JKmad.JK,Bursa Efek Indonesia PT,Indonesia,,,,,
BOGA.JK,Bintang Oto Global Tbk PT,Indonesia, 0.61 , 0.53 , 0.56 , 0.56 , 0.16 
PORT.JK,Nusantara Pelabuhan Handal Tbk PT,Indonesia, 1.11 , 0.26 , 0.74 , 0.88 , 1.00 
CARS.JK,Industri Dan Perdagangan Bintraco Dharma Tbk PT,Indonesia, 1.39 , 2.23 , 3.87 , 6.99 , 4.57 
MINA.JK,Sanurhasta Mitra Tbk PT,Indonesia, 0.00 , 0.00 , 0.01 , 0.01 , 0.01 
CLEO.JK,Sariguna Primatirta Tbk PT,Indonesia, 0.23 , 0.35 , 0.32 , 0.17 , 0.29 
TGRA.JK,Terregra Asia Energy Tbk PT,Indonesia, 0.31 , 0.30 , 0.20 , 0.20 , 0.20 
TAMU.JK,Pelayaran Tamarin Samudra Tbk PT,Indonesia, 0.78 , 0.87 , 0.88 , 0.81 , 0.80 
CSIS.JK,Cahayasakti Investindo Sukses Tbk PT,Indonesia, 0.08 , 0.08 , 0.04 , 0.07 , 0.10 
AVIA.JK,Avia Avian PT Tbk,Indonesia, 0.01 , 0.00 , 0.01 , 0.01 , 0.02 
HRTA.JK,Hartadinata Abadi Tbk PT,Indonesia, 1.46 , 1.42 , 1.19 , 1.25 , 1.04 
TOPS.JK,Totalindo Eka Persada Tbk PT,Indonesia, 0.98 , 1.18 , 1.06 , 1.06 , 0.81 
FIRE.JK,Alfa Energi Investama Tbk PT,Indonesia, 0.01 , 0.21 , 0.17 , 0.17 , 0.25 
NASA.JK,Andalan Perkasa Abadi Tbk PT,Indonesia, -   , -   , 0.01 , 0.04 , 0.04 
MARK.JK,Mark Dynamics Indonesia Tbk PT,Indonesia, 0.04 , 0.07 , 0.14 , 0.18 , 0.40 
KMTR.JK,Kirana Megatara Tbk PT,Indonesia, 1.58 , 1.30 , 1.34 , 1.63 , 1.32 
WOOD.JK,Integra Indocabinet Tbk PT,Indonesia, 0.64 , 0.71 , 0.79 , 0.73 , 0.78 
MAPB.JK,Map Boga Adiperkasa Tbk PT,Indonesia, 0.33 , 0.31 , 0.36 , 0.43 , 0.53 
ARMY.JK,Armidian Karyatama Tbk PT,Indonesia, 0.13 , 0.16 , 0.11 , 0.13 , 0.50 
HOKI.JK,Buyung Poetra Sembada Tbk PT,Indonesia, 0.63 , 0.44 , 0.16 , 0.44 , 0.33 
MABA.JK,Marga Abhinaya Abadi Tbk PT,Indonesia, 4.87 , 2.58 , 1.70 , 2.75 , 3.66 
WEGE.JK,Wijaya Karya Bangunan Gedung Tbk PT,Indonesia, 0.18 , 0.09 , 0.24 , 0.22 , 0.23 
IPCM.JK,Jasa Armada Indonesia Tbk PT,Indonesia, 0.07 , 0.03 , 0.01 , 0.03 , 0.05 
MDKI.JK,Emdeki Utama Tbk PT,Indonesia, 0.01 , 0.02 , 0.01 , 0.01 , 0.00 
KIOS.JK,Kioson Komersial Indonesia Tbk PT,Indonesia,, -   , -   , -   , 2.75 
BELL.JK,Trisula Textile Industries Tbk PT,Indonesia, 0.65 , 0.59 , 0.59 , 0.59 , 0.77 
MTWI.JK,Malacca Trust Wuwungan Insurance Tbk PT,Indonesia, 0.01 , 0.02 , 0.00 , 0.01 , 0.02 
MCAS.JK,M Cash Integrasi Tbk PT,Indonesia, 0.14 , 0.20 , 0.18 , 0.17 , 0.13 
PPRE.JK,PP Presisi Tbk PT,Indonesia, 0.55 , 0.65 , 0.76 , 0.76 , 0.69 
ZINC.JK,Kapuas Prima Coal Tbk PT,Indonesia, 2.46 , 2.11 , 1.97 , 1.16 , 0.29 
PBID.JK,Panca Budi Idaman Tbk PT,Indonesia, 0.06 , 0.08 , 0.11 , 0.05 , 0.06 
HEAL.JK,Medikaloka Hermina Tbk PT,Indonesia, 0.55 , 0.43 , 0.37 , 0.38 , 0.46 
CAMP.JK,Campina Ice Cream Industry Tbk PT,Indonesia,, -   ,,,
PSSI.JK,IMC Pelita Logistik Tbk PT,Indonesia, 0.12 , 0.11 , 0.07 , 0.25 , 0.38 
DWGL.JK,Dwi Guna Laksana Tbk PT,Indonesia, 0.89 , 1.89 , 2.48 , 1.56 ,
MORA.JK,Mora Telematika Indonesia Tbk PT,Indonesia, 0.78 , 0.92 , 1.08 , 1.73 , 2.51 
JMAS.JK,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk PT,Indonesia,,,,,
PCAR.JK,Prima Cakrawala Abadi Tbk PT,Indonesia, 0.18 , 0.28 , 0.23 , 0.29 , 0.24 
LCKM.JK,LCK Global Kedaton Tbk PT,Indonesia,,,,, -   
BOSS.JK,Borneo Olah Sarana Sukses Tbk PT,Indonesia,,, 3.30 , 1.13 , 0.15 
JSKY.JK,Sky Energy Indonesia Tbk PT,Indonesia,, 1.46 , 0.69 , 0.76 , 1.55 
BTPS.JK,Bank BTPN Syariah Tbk PT,Indonesia, 0.02 , 0.01 , 0.02 , 0.01 , 0.05 
GOTO.JK,GoTo Gojek Tokopedia PT Tbk,Indonesia, 0.16 , 0.12 , 0.02 , 0.02 , 0.13 
TDPM.JK,Tianrong Chemicals Industry PT Tbk,Indonesia, 4.86 , 1.56 , 0.91 , 0.92 , 0.85 
INPS.JK,Indah Prakasa Sentosa Tbk PT,Indonesia,, 5.67 , 8.79 , 2.69 , 2.38 
HELI.JK,Jaya Trishindo Tbk PT,Indonesia, 1.28 , 1.81 , 2.42 , 0.95 , 1.20 
PRIM.JK,Royal Prima Tbk PT,Indonesia,,, -   , 0.00 , 0.00 
GHON.JK,Gihon Telekomunikasi Indonesia Tbk PT,Indonesia, 0.58 , 0.49 , 0.36 , 0.29 , 0.12 
SPTO.JK,Surya Pertiwi Tbk PT,Indonesia, 0.12 , 0.15 , 0.16 , 0.20 , 0.24 
DFAM.JK,Dafam Property Indonesia Tbk PT,Indonesia, 6.92 , 4.00 , 2.98 , 2.28 , 2.18 
NICK.JK,Charnic Capital Tbk PT,Indonesia,,,,,
