Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
DSNG.JK,Dharma Satya Nusantara Tbk PT,Indonesia,,,,,,"10,119,220,000,000.00","9,498,749,000,000.00","9,633,671,000,000.00","7,124,495,000,000.00","6,698,918,000,000.00"
SRIL.JK,Sri Rejeki Isman Tbk PT,Indonesia,,,,,,"5,004,632,094,120.00","8,164,858,754,415.00","12,077,204,616,750.00","18,007,274,151,360.00","16,403,858,446,160.00"
ACST.JK,Acset Indonusa Tbk PT,Indonesia,42.57,39.98,38.50,,,"3,172,312,000,000.00","2,349,638,000,000.00","1,036,870,000,000.00","1,494,671,000,000.00","1,204,429,000,000.00"
SRTG.JK,Saratoga Investama Sedaya Tbk PT,Indonesia,,,,,,"5,341,970,000,000.00","-10,991,165,000,000.00","6,365,808,000,000.00","26,077,518,000,000.00","9,161,672,000,000.00"
SMBR.JK,Semen Baturaja Tbk PT,Indonesia,,,,,,"2,091,352,268,000.00","2,040,679,390,000.00","1,881,767,356,000.00","1,751,585,770,000.00","1,721,907,150,000.00"
NRCA.JK,Nusa Raya Cipta Tbk PT,Indonesia,,,,,,"3,372,465,083,657.00","2,895,507,275,859.00","2,462,407,757,122.00","1,669,713,392,168.00","2,085,740,129,302.00"
ECII.JK,Electronic City Indonesia Tbk PT,Indonesia,,,,,,"2,429,123,633,795.00","2,469,277,515,021.00","2,192,317,036,972.00","1,811,358,512,969.00","1,618,490,505,399.00"
MLPT.JK,Multipolar Technology Tbk PT,Indonesia,,,,,,"3,729,786,000,000.00","3,297,221,000,000.00","3,442,223,000,000.00","2,996,746,000,000.00","2,685,797,000,000.00"
BBMD.JK,Bank Mestika Dharma Tbk PT,Indonesia,,,,,,"955,822,464,742.00","985,891,943,503.00","1,045,175,259,598.00","973,743,716,060.00","878,094,193,784.00"
BMAS.JK,Bank Maspion Indonesia Tbk PT,Indonesia,,,,,,"711,800,684,000.00","532,492,695,000.00","421,752,707,000.00","280,730,273,000.00","258,704,740,000.00"
VICO.JK,Victoria Investama Tbk PT,Indonesia,,,,,,"1,174,949,935,000.00","1,034,413,354,000.00","1,577,420,145,000.00","1,257,886,339,000.00","864,181,616,000.00"
XCID.JK,Dana Investasi Real Estat Ciptadana Properti Ritel Indonesia,Indonesia,,,,,,,,,,
SILO.JK,Siloam International Hospitals Tbk PT,Indonesia,,,,,,"12,207,563,000,000.00","11,190,511,000,000.00","9,518,012,000,000.00","9,381,891,000,000.00","7,110,124,000,000.00"
APII.JK,Arita Prima Indonesia Tbk PT,Indonesia,,,,,,"280,126,867,734.00","299,110,900,336.00","295,022,431,265.00","252,448,924,906.00","248,930,980,599.00"
BIRD.JK,Blue Bird Tbk PT,Indonesia,,,,,,"5,039,947,000,000.00","4,422,472,000,000.00","3,590,100,000,000.00","2,220,841,000,000.00","2,046,660,000,000.00"
KRAH.JK,Grand Kartech Tbk PT,Indonesia,,,,,,"259,860,630,988.00","263,264,762,260.00","312,547,508,818.00","283,205,794,372.00","286,048,380,773.00"
GMFI.JK,Garuda Maintenance Facility AeroAsia Tbk PT,Indonesia,,,,,,"6,777,481,062,740.00","5,745,521,518,680.00","3,715,426,094,545.00","3,000,954,738,750.00","3,563,933,747,400.00"
CANI.JK,Capitol Nusantara Indonesia Tbk PT,Indonesia,,,,,,"57,313,743,650.00","54,029,806,100.00","45,457,603,650.00","38,542,610,860.00","23,465,773,000.00"
SSMS.JK,Sawit Sumbermas Sarana Tbk PT,Indonesia,,,,,,"10,521,650,695,000.00","10,703,411,845,000.00","11,240,219,016,000.00","5,203,100,578,000.00","4,011,130,559,000.00"
WTON.JK,Wijaya Karya Beton Tbk PT,Indonesia,43.37,44.55,32.22,,,"4,896,024,340,364.00","4,203,170,642,940.00","6,003,788,032,167.00","4,458,987,837,356.00","4,803,359,291,718.00"
PNBS.JK,Bank Panin Dubai Syariah Tbk PT,Indonesia,29.01,38.14,27.56,,,"422,832,407,000.00","470,082,648,000.00","546,285,094,000.00","379,183,858,000.00","123,860,612,000.00"
LEAD.JK,Logindo Samudramakmur Tbk PT,Indonesia,,,,,,"751,184,739,150.00","504,528,450,060.00","459,174,519,815.00","409,047,090,750.00","358,992,592,920.00"
IMJS.JK,Indomobil Multi Jasa Tbk PT,Indonesia,,,,,,"5,405,027,000,000.00","5,154,369,131,699.00","4,825,433,552,907.00","4,039,420,527,843.00","4,142,750,788,802.00"
SIDO.JK,Industri Jamu dan Farmasi Sido Muncul Tbk PT,Indonesia,,,,,,"3,919,084,000,000.00","3,565,930,000,000.00","3,865,523,000,000.00","4,020,980,000,000.00","3,335,411,000,000.00"
DNAR.JK,Bank Oke Indonesia Tbk PT,Indonesia,,,,,,"601,419,325,268.00","603,360,472,440.00","467,042,023,212.00","321,169,394,394.00","248,964,106,947.00"
BINA.JK,Bank Ina Perdana Tbk PT,Indonesia,,,,,,"739,706,000,000.00","748,119,000,000.00","572,184,000,000.00","289,495,000,000.00","224,979,000,000.00"
BLTZ.JK,Graha Layar Prima Tbk PT,Indonesia,,,,,,"1,173,236,505,000.00","1,061,479,214,000.00","1,058,368,091,000.00","284,904,939,000.00","255,837,658,000.00"
MDIA.JK,Intermedia Capital Tbk PT,Indonesia,,,,,,"669,204,802,000.00","778,049,710,000.00","1,265,960,458,000.00","1,354,248,158,000.00","1,282,045,937,000.00"
BALI.JK,Bali Towerindo Sentra Tbk PT,Indonesia,,,,,,"1,045,848,521,801.00","955,261,616,145.00","978,378,536,736.00","946,633,191,563.00","778,896,099,135.00"
