Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
CPRI.JK,Capri Nusa Satu Properti Tbk PT,Indonesia,,,,,,"3,554,157,242.00","3,725,737,875.00","2,969,040,875.00","2,248,892,320.00","1,425,422,798.00"
MTPS.JK,Meta Epsi Tbk PT,Indonesia,,,,,,"1,328,006,083.00","853,734,399.00","918,021,149.00","54,902,595,928.00","125,916,873,577.00"
COCO.JK,PT Wahana Interfood Nusantara Tbk,Indonesia,,,,,,"161,089,602,162.00","171,060,029,289.00","289,795,165,323.00","224,437,956,140.00","171,048,708,670.00"
JAYA.JK,Armada Berjaya Trans Tbk PT,Indonesia,,,,,,"100,709,558,383.00","84,805,835,926.00","79,236,924,565.00","72,427,580,175.00","65,475,480,450.00"
NATO.JK,Surya Permata Andalan Tbk PT,Indonesia,,,,,,"17,941,740,236.00","12,473,596,156.00","4,876,773,323.00","1,806,154,116.00","1,628,481,178.00"
CLAY.JK,Citra Putra Realty Tbk PT,Indonesia,,,,,,"230,633,180,518.00","224,564,188,357.00","126,226,524,149.00","19,386,073,054.00","33,958,241,996.00"
BEEF.JK,Estika Tata Tiara Tbk PT,Indonesia,,,,,,"4,930,799,547,693.00","611,771,423,767.00","39,116,821,863.00","142,314,782,595.00","728,034,316,374.00"
POLI.JK,Pollux Hotels Group Tbk PT,Indonesia,,,,,,"486,591,217,349.00","360,929,836,864.00","330,487,533,012.00","203,197,973,528.00","231,624,097,738.00"
FOOD.JK,Sentra Food Indonesia Tbk PT,Indonesia,,,,,,"82,309,072,912.00","77,589,046,984.00","87,016,911,838.00","91,560,431,563.00","94,563,258,607.00"
PEHA.JK,Phapros Tbk PT,Indonesia,,,,,,"744,694,626,000.00","1,003,571,884,000.00","1,168,474,434,000.00","1,051,444,342,000.00","980,556,653,000.00"
ZONE.JK,Mega Perintis Tbk PT,Indonesia,,,,,,"708,360,249,417.00","735,452,173,943.00","672,881,397,294.00","463,875,808,021.00","326,772,159,406.00"
URBN.JK,Urban Jakarta Propertindo Tbk PT,Indonesia,,,,,,"20,332,952,261.00","221,525,651,655.00","39,804,064,636.00","71,126,409,759.00","128,943,932,680.00"
SOTS.JK,Satria Mega Kencana Tbk PT,Indonesia,,,,,,"22,552,571,484.00","22,585,256,898.00","19,396,218,333.00","12,383,996,473.00","10,095,970,057.00"
LUCK.JK,Sentral Mitra Informatika Tbk PT,Indonesia,,,,,,"94,177,061,494.00","106,699,011,283.00","136,370,430,067.00","102,316,904,804.00","99,250,082,878.00"
DIVA.JK,Distribusi Voucher Nusantara Tbk PT,Indonesia,,,,,,"4,173,461,589,103.00","3,853,437,447,573.00","4,868,380,395,335.00","4,852,117,401,195.00","3,687,861,850,042.00"
SATU.JK,Kota Satu Properti Tbk PT,Indonesia,,,,,,"26,873,840,341.00","27,991,125,805.00","32,164,228,563.00","21,472,858,707.00","24,103,377,833.00"
CAKK.JK,Cahayaputra Asa Keramik Tbk PT,Indonesia,,,,,,"239,479,149,464.00","208,635,900,710.00","250,320,655,340.00","270,440,097,202.00","217,013,915,602.00"
YELO.JK,Yelooo Integra Datanet Tbk PT,Indonesia,,,,,,"257,537,351,286.00","771,066,615,665.00","1,567,329,372,826.00","500,078,998,848.00","159,931,484,303.00"
MPRO.JK,Maha Properti Indonesia Tbk PT,Indonesia,,,,,,"7,574,406,000.00","5,458,044,000.00","14,462,704,000.00","66,958,886,000.00","127,195,488,000.00"
DUCK.JK,Jaya Bersama Indo Tbk PT,Indonesia,,,,,,"736,796,880,212.00","617,769,716,781.00","538,254,996,942.00","436,003,072,066.00",
HKMU.JK,HK Metals Utama Tbk PT,Indonesia,,,,,,"189,451,456,077.00","389,704,532,869.00","559,954,787,358.00","1,216,825,400,748.00","864,983,016,390.00"
GOOD.JK,Garudafood Putra Putri Jaya Tbk PT,Indonesia,40.94,39.68,36.79,,,"12,235,369,422,252.00","10,543,572,559,649.00","10,510,942,813,705.00","8,799,579,901,024.00","7,719,379,796,413.00"
SURE.JK,Super Energy Tbk PT,Indonesia,,,,,,"372,754,928,587.00","304,556,595,795.00","374,131,420,451.00","339,306,403,375.00","335,556,251,700.00"
KPAS.JK,Cottonindo Ariesta Tbk PT,Indonesia,,,,,,"66,104,105,988.00","74,877,988,354.00","73,286,561,591.00","80,112,452,520.00","81,723,682,311.00"
SAPX.JK,Satria Antaran Prima Tbk PT,Indonesia,,,,,,"682,513,129,935.00","622,181,581,070.00","591,902,803,145.00","589,409,749,578.00","451,599,889,844.00"
PANI.JK,Pantai Indah Kapuk Dua Tbk PT,Indonesia,,,,,,"2,832,586,999,000.00","2,158,892,494,000.00","577,740,011,000.00","316,182,830,000.00","180,460,605,151.00"
ANDI.JK,Andira Agro Tbk PT,Indonesia,,,,,,"196,741,616,114.00","219,942,382,085.00","317,855,645,702.00","346,364,995,418.00","260,214,446,632.00"
LAND.JK,Trimitra Propertindo Tbk PT,Indonesia,,,,,,"48,029,997,488.00","34,630,899,517.00","52,968,882,351.00","42,588,345,942.00","27,226,572,869.00"
AALI.JK,Astra Agro Lestari Tbk PT,Indonesia,43.40,42.02,43.24,36.84,37.81,"21,815,035,000,000.00","20,745,473,000,000.00","21,828,591,000,000.00","24,322,048,000,000.00","18,807,043,000,000.00"
ABDA.JK,Asuransi Bina Dana Arta Tbk PT,Indonesia,20.76,32.01,28.81,,,"939,318,884,000.00","865,568,075,000.00","786,055,426,000.00","802,927,141,000.00","923,810,855,000.00"
ABBA.JK,Mahaka Media Tbk PT,Indonesia,35.62,33.30,32.14,,,"208,646,955,109.00","200,775,734,875.00","170,217,448,535.00","168,792,972,085.00","158,607,888,337.00"
ACES.JK,Aspirasi Hidup Indonesia Tbk PT,Indonesia,31.70,25.13,28.52,29.98,18.96,"8,582,510,248,665.00","7,620,153,096,871.00","6,762,803,342,146.00","6,543,362,698,900.00","7,412,766,872,302.00"
ADES.JK,Akasha Wira International Tbk PT,Indonesia,12.38,14.55,21.64,,,"1,956,431,000,000.00","1,525,445,000,000.00","1,290,992,000,000.00","935,075,000,000.00","673,364,000,000.00"
ADHI.JK,Adhi Karya (Persero) Tbk PT,Indonesia,41.34,39.73,35.23,,,"13,351,717,203,356.00","20,072,993,428,021.00","13,549,010,228,584.00","11,530,471,713,036.00","10,827,682,417,205.00"
ADMF.JK,Adira Dinamika Multi Finance Tbk PT,Indonesia,44.41,32.75,35.21,,,"9,714,199,000,000.00","9,246,451,000,000.00","7,991,656,000,000.00","8,263,849,000,000.00","9,232,807,000,000.00"
ADMG.JK,Polychem Indonesia Tbk PT,Indonesia,,,,,,"1,764,686,968,720.00","1,613,437,258,600.00","2,222,276,064,800.00","2,710,243,851,750.00","2,144,086,995,960.00"
AGRO.JK,Bank Raya Indonesia Tbk PT,Indonesia,,,,,,"605,316,794,000.00","534,912,613,000.00","711,419,859,000.00","931,440,322,000.00","684,848,276,000.00"
AHAP.JK,Asuransi Harta Aman Pratama Tbk PT,Indonesia,,,,,,"285,443,980,377.00","273,705,207,272.00","244,022,300,848.00","203,383,368,635.00","141,362,674,849.00"
AIMS.JK,Artha Mahiya Investama Tbk PT,Indonesia,,,,,,"262,500,000.00","9,756,097,747.00","32,544,673,624.00","38,507,204,242.00","4,718,435,642.00"
AISA.JK,FKS Food Sejahtera Tbk PT,Indonesia,,,,,,"1,920,620,000,000.00","1,704,013,000,000.00","1,843,760,000,000.00","1,520,879,000,000.00","1,283,331,000,000.00"
AKKU.JK,Anugerah Kagum Karya Utama Tbk PT,Indonesia,,,,,,"8,520,856,393.00",,"4,581,408,975.00","3,051,735,626.00","207,588,165,382.00"
AKPI.JK,Argha Karya Prima Industry Tbk PT,Indonesia,,,,,,"3,025,035,536,000.00","2,723,631,493,000.00","3,105,631,649,000.00","2,702,959,888,000.00","2,230,113,093,000.00"
AKRA.JK,AKR Corporindo Tbk PT,Indonesia,55.05,59.14,51.76,54.91,51.71,"38,729,493,298,000.00","42,086,952,436,000.00","47,539,986,604,000.00","25,707,068,900,000.00","17,715,928,111,000.00"
AKSI.JK,MINERAL SUMBERDAYA MANDIRI TBK PT,Indonesia,,,,,,"420,167,882,568.00","431,489,505,362.00","484,127,494,223.00","479,636,030,718.00","521,617,491,481.00"
ALKA.JK,Alakasa Industrindo Tbk PT,Indonesia,,,,,,"78,893,845,000.00","1,891,073,803,000.00","4,131,540,432,000.00","3,470,466,702,000.00","2,044,132,602,000.00"
ALMI.JK,Alumindo Light Metal Industry Tbk PT,Indonesia,,,,,,"295,285,546,440.00","873,479,400,885.00","1,256,295,307,905.00","1,459,054,536,000.00","954,915,450,840.00"
AMAG.JK,Asuransi Multi Artha Guna Tbk PT,Indonesia,,,,,,"1,115,033,271,000.00","1,014,118,521,000.00","902,938,424,000.00","852,436,386,000.00","809,805,299,000.00"
AMFG.JK,Asahimas Flat Glass Tbk PT,Indonesia,,,,,,"5,441,260,000,000.00","5,913,565,000,000.00","5,571,767,000,000.00","4,748,139,000,000.00","3,767,789,000,000.00"
ANTM.JK,Aneka Tambang Tbk PT,Indonesia,73.95,75.43,69.92,72.48,71.25,"69,192,440,000,000.00","41,047,693,000,000.00","45,930,356,000,000.00","38,445,595,000,000.00","27,372,461,091,000.00"
APIC.JK,PT Pacific Strategic Financial Tbk,Indonesia,,,,,,"2,305,952,365,289.00","2,144,995,015,994.00","2,366,530,208,133.00","2,193,251,791,687.00","2,256,171,025,195.00"
APLI.JK,Asiaplast Industries Tbk PT,Indonesia,,,,,,"399,693,178,434.00","469,138,780,462.00","526,828,140,182.00","420,717,433,375.00","325,538,152,468.00"
ARGO.JK,Argo Pantes Tbk PT,Indonesia,,,,,,"102,996,849,573.00","103,137,139,854.00","92,453,939,139.00","70,234,609,525.00","58,242,255,271.52"
ARNA.JK,Arwana Citramulia Tbk PT,Indonesia,,,,,,"2,632,310,100,626.00","2,447,442,037,597.00","2,586,665,297,217.00","2,554,880,982,584.00","2,211,743,593,136.00"
ARTA.JK,Arthavest Tbk PT,Indonesia,,,,,,"111,585,474,541.00","77,749,462,830.00","57,846,064,984.00","40,480,469,347.00","32,934,176,030.00"
ARTI.JK,Ratu Prabu Energi Tbk PT,Indonesia,,,,,,"37,082,046,768.00","115,031,317,824.00","73,307,080,745.00","6,010,295,707.00","32,804,745,743.00"
ASBI.JK,Asuransi Bintang Tbk PT,Indonesia,,,,,,"190,242,285,000.00","229,195,322,000.00","243,172,993,000.00","242,697,772,000.00","275,023,586,000.00"
ASDM.JK,Asuransi Dayin Mitra Tbk PT,Indonesia,36.56,26.68,29.14,,,"238,658,743,000.00","205,323,401,000.00","187,371,297,000.00","172,722,176,000.00","181,126,405,000.00"
ASII.JK,Astra International Tbk PT,Indonesia,49.24,53.26,58.26,58.20,46.11,"330,920,000,000,000.00","316,565,000,000,000.00","301,379,000,000,000.00","233,485,000,000,000.00","175,046,000,000,000.00"
ASGR.JK,Astra Graphia Tbk PT,Indonesia,,,,,,"2,814,262,000,000.00","2,968,952,000,000.00","2,909,972,000,000.00","3,299,105,000,000.00","3,348,871,000,000.00"
ASJT.JK,Asuransi Jasa Tania Tbk PT,Indonesia,,,,,,"136,125,981,463.00","125,760,547,279.00","99,531,032,143.00","119,196,588,398.00","113,383,364,806.00"
ASRI.JK,ALAM SUTERA REALTY Tbk PT,Indonesia,33.80,22.71,28.61,29.16,,"3,433,337,156,000.00","3,956,015,546,000.00","4,493,531,259,000.00","2,847,323,717,000.00","1,413,251,961,000.00"
ASRM.JK,Asuransi Ramayana Tbk PT,Indonesia,,,,,,"1,602,370,056,063.00","1,963,235,109,878.00","2,017,912,288,463.00","1,613,223,368,992.00","1,351,681,523,251.00"
AUTO.JK,Astra Otoparts Tbk PT,Indonesia,,,,,,"19,073,703,000,000.00","18,649,065,000,000.00","18,579,927,000,000.00","15,151,663,000,000.00","11,869,221,000,000.00"
BABP.JK,Bank MNC Internasional Tbk PT,Indonesia,,,,,,"579,400,000,000.00","668,337,000,000.00","700,764,000,000.00","480,676,000,000.00","447,774,000,000.00"
BACA.JK,Bank Capital Indonesia Tbk PT,Indonesia,,,,,,"823,553,000,000.00","157,720,000,000.00","-346,349,000,000.00","-486,112,000,000.00","60,317,000,000.00"
BAPA.JK,Bekasi Asri Pemula Tbk PT,Indonesia,,,,,,"4,066,108,299.00","8,119,901,265.00","3,716,043,983.00","6,194,779,683.00","9,518,983,284.00"
BATA.JK,Sepatu Bata Tbk PT,Indonesia,,,,,,"459,980,798,000.00","609,611,523,000.00","643,454,175,000.00","438,484,972,000.00","459,584,146,000.00"
BAYU.JK,Bayu Buana Tbk PT,Indonesia,,,,,,"2,583,579,802,201.00","2,174,710,910,738.00","1,794,792,962,356.00","491,020,818,713.00","551,589,148,609.00"
BBCA.JK,Bank Central Asia Tbk PT,Indonesia,85.60,84.26,86.16,87.00,87.43,"103,098,612,000,000.00","93,447,206,000,000.00","81,860,520,000,000.00","73,587,539,000,000.00","71,623,889,000,000.00"
BBKP.JK,Bank KB Bukopin Tbk PT,Indonesia,,,,,,"1,424,735,000,000.00","1,162,980,000,000.00","1,417,740,000,000.00","845,449,000,000.00","1,376,324,000,000.00"
BBLD.JK,Buana Finance Tbk PT,Indonesia,,,,,,"864,264,000,000.00","716,200,000,000.00","590,179,000,000.00","542,931,000,000.00","672,208,000,000.00"
BBNI.JK,Bank Negara Indonesia (Persero) Tbk PT,Indonesia,84.01,81.81,79.87,79.23,78.51,"55,629,061,000,000.00","55,327,441,000,000.00","55,554,784,000,000.00","51,632,499,000,000.00","49,476,175,000,000.00"
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia,87.71,81.41,81.57,73.12,72.64,"169,883,281,000,000.00","160,918,050,000,000.00","147,765,150,000,000.00","137,486,011,000,000.00","115,115,278,000,000.00"
BCAP.JK,MNC Kapital Indonesia Tbk PT,Indonesia,,,,,,"3,266,002,000,000.00","2,937,046,000,000.00","2,823,504,000,000.00","2,711,389,000,000.00","2,649,045,000,000.00"
BCIC.JK,Bank JTrust Indonesia Tbk PT,Indonesia,,,,,,"841,067,000,000.00","820,092,000,000.00","668,462,000,000.00","122,941,000,000.00","-5,413,000,000.00"
BDMN.JK,Bank Danamon Indonesia Tbk PT,Indonesia,59.06,56.68,60.48,62.15,60.37,"19,762,061,000,000.00","18,981,277,000,000.00","17,679,859,000,000.00","17,369,126,000,000.00","17,522,822,000,000.00"
BEKS.JK,Bank Pembangunan Daerah Banten Tbk PT,Indonesia,,,,,,"232,514,000,000.00","260,086,000,000.00","201,438,000,000.00","88,392,000,000.00","55,705,000,000.00"
BFIN.JK,BFI Finance Indonesia Tbk PT,Indonesia,,,,,,"6,103,740,000,000.00","6,143,368,000,000.00","5,154,394,000,000.00","3,863,273,000,000.00","4,378,257,000,000.00"
BHIT.JK,MNC Asia Holding Tbk PT,Indonesia,,,,,,"15,226,314,000,000.00","15,660,503,000,000.00","18,083,695,000,000.00","17,871,939,000,000.00","14,795,285,000,000.00"
BIMA.JK,Primarindo Asia Infrastructure Tbk PT,Indonesia,,,,,,"92,500,318,741.00","91,394,216,751.00","113,918,038,823.00","41,842,213,373.00","57,050,904,827.00"
BIPP.JK,Bhuwanatala Indah Permai Tbk PT,Indonesia,,,,,,"258,557,430,709.00","264,064,990,351.00","327,320,863,485.00","293,991,355,499.00","529,839,404,669.00"
BISI.JK,BISI International Tbk PT,Indonesia,,,,,,"1,367,926,000,000.00","2,298,131,000,000.00","2,415,592,000,000.00","2,015,138,000,000.00","1,812,762,000,000.00"
BKDP.JK,Bukit Darmo Property Tbk PT,Indonesia,,,,,,"30,520,490,000.00","31,211,356,619.00","26,035,856,958.00","23,401,842,549.00","19,558,738,651.00"
BKSL.JK,PT Sentul City Tbk,Indonesia,,,,,,"744,068,396,829.00","1,720,160,600,872.00","672,838,224,828.00","910,709,348,365.00","451,847,226,952.00"
BKSW.JK,Bank QNB Indonesia Tbk PT,Indonesia,,,,,,"544,145,000,000.00","710,142,000,000.00","701,455,000,000.00","555,396,000,000.00","360,690,000,000.00"
BLTA.JK,Berlian Laju Tanker Tbk PT,Indonesia,,,,,,"654,213,140,990.00","598,677,511,655.00","407,847,220,165.00","280,250,147,250.00","257,842,297,440.00"
BMRI.JK,Bank Mandiri (Persero) Tbk PT,Indonesia,85.38,82.56,82.96,82.72,77.99,"146,599,045,000,000.00","138,657,761,000,000.00","125,551,334,000,000.00","107,123,671,000,000.00","93,640,430,000,000.00"
BMSR.JK,Bintang Mitra Semestaraya Tbk PT,Indonesia,,,,,,"3,013,056,320,674.00","3,859,879,267,941.00","4,830,287,518,791.00","3,309,550,194,031.00","2,597,432,424,347.00"
BMTR.JK,Global Mediacom Tbk PT,Indonesia,44.63,43.36,42.52,37.45,25.52,"10,059,317,000,000.00","10,163,157,000,000.00","12,233,495,000,000.00","13,976,648,000,000.00","12,064,088,000,000.00"
BNBA.JK,Bank Bumi Arta Tbk PT,Indonesia,,,,,,"348,449,789,125.00","362,689,422,669.00","358,722,661,486.00","298,699,248,229.00","295,638,212,185.00"
BNBR.JK,Bakrie & Brothers Tbk PT,Indonesia,,,,,,"3,869,905,000,000.00","3,759,484,000,000.00","3,626,696,000,000.00","2,393,477,000,000.00","2,454,947,000,000.00"
BNII.JK,Bank Maybank Indonesia Tbk PT,Indonesia,66.31,51.13,48.95,,,"9,491,798,000,000.00","9,264,645,000,000.00","8,736,378,000,000.00","9,209,504,000,000.00","9,644,339,000,000.00"
BNGA.JK,Bank CIMB Niaga Tbk PT,Indonesia,65.03,58.62,51.89,,,"18,917,536,000,000.00","18,785,520,000,000.00","18,865,721,000,000.00","17,567,517,000,000.00","16,358,525,000,000.00"
BNLI.JK,Bank Permata Tbk PT,Indonesia,66.29,51.98,45.66,,,"11,581,278,000,000.00","11,408,298,000,000.00","10,338,601,000,000.00","9,516,271,000,000.00","8,611,072,000,000.00"
BRAM.JK,Indo Kordsa Tbk PT,Indonesia,,,,,,"3,715,425,777,170.00","3,878,956,975,955.00","5,217,921,007,860.00","3,701,675,418,000.00","2,365,631,807,760.00"
BRNA.JK,Berlina Tbk PT,Indonesia,,,,,,"1,029,528,087,000.00","1,000,204,936,000.00","1,053,041,832,000.00","1,051,423,115,000.00","1,123,569,559,000.00"
BRPT.JK,Barito Pacific Tbk PT,Indonesia,48.34,52.14,51.47,53.94,45.56,"38,406,749,550,000.00","42,495,726,805,000.00","46,096,245,580,000.00","44,968,098,000,000.00","32,771,746,800,000.00"
BSWD.JK,Bank Of India Indonesia Tbk PT,Indonesia,,,,,,"287,532,771,867.00","256,616,615,016.00","143,148,433,738.00","98,096,612,144.00","95,842,769,462.00"
BTEK.JK,Bumi Teknokultura Unggul Tbk PT,Indonesia,,,,,,"635,627,019,063.00","196,668,165,620.00","153,501,795,074.00","146,942,545,316.00","1,013,029,439,944.00"
BTEL.JK,Bakrie Telecom Tbk PT,Indonesia,,,,,,"13,862,000,000.00","32,370,000,000.00","36,391,000,000.00","3,968,000,000.00","4,024,000,000.00"
BTON.JK,Betonjaya Manunggal Tbk PT,Indonesia,,,,,,"128,025,738,500.00","139,549,203,760.00","152,170,646,020.00","112,730,081,720.00","113,551,660,060.00"
BTPN.JK,PT Bank SMBC Indonesia Tbk,Indonesia,,,,,,"17,049,455,000,000.00","12,760,261,000,000.00","12,462,800,000,000.00","11,906,175,000,000.00","11,353,380,000,000.00"
BUDI.JK,Budi Starch & Sweetener Tbk PT,Indonesia,,,,,,"4,009,264,000,000.00","3,944,953,000,000.00","3,382,326,000,000.00","3,374,782,000,000.00","2,725,866,000,000.00"
BUMI.JK,Bumi Resources Tbk PT,Indonesia,77.27,82.76,85.23,85.20,84.69,"21,877,242,720,570.00","25,862,811,237,175.00","28,485,194,063,755.00","14,367,034,893,750.00","11,097,727,013,880.00"
BVIC.JK,Bank Victoria International Tbk PT,Indonesia,,,,,,"606,583,644,000.00","608,400,474,000.00","760,947,466,000.00","629,308,522,000.00","522,544,720,000.00"
CEKA.JK,Wilmar Cahaya Indonesia Tbk PT,Indonesia,,,,,,"8,002,904,770,455.00","6,337,428,625,946.00","6,143,759,424,928.00","5,359,440,530,374.00","3,634,297,273,749.00"
CENT.JK,Centratama Telekomunikasi Indonesia Tbk PT,Indonesia,,,,,,"2,464,549,000,000.00","2,495,943,000,000.00","2,320,072,000,000.00","1,193,097,000,000.00","1,096,044,000,000.00"
CFIN.JK,Clipan Finance Indonesia Tbk PT,Indonesia,,,,,,"1,787,350,110,000.00","2,290,739,348,000.00","1,503,328,180,000.00","1,464,625,210,000.00","1,831,895,468,000.00"
CITA.JK,Pt Cita Mineral Investindo Tbk,Indonesia,,,,,,"2,386,968,975,506.00","3,292,715,920,018.00","5,694,017,210,214.00","4,578,413,666,494.00","4,344,699,474,015.00"
CLPI.JK,Colorpak Indonesia Tbk PT,Indonesia,,,,,,"913,901,474,488.00","806,306,849,977.00","830,942,437,933.00","838,133,850,430.00","772,341,730,795.00"
CMNP.JK,Citra Marga Nusaphala Persada Tbk PT,Indonesia,,,,,,"4,108,093,965,000.00","7,649,712,092,000.00","4,463,597,398,000.00","4,437,589,419,000.00","2,588,528,412,000.00"
CMPP.JK,AirAsia Indonesia Tbk PT,Indonesia,,,,,,"7,943,931,260,078.00","6,625,320,826,182.00","3,780,525,920,680.00","626,001,737,959.00","1,610,973,387,045.00"
CNKO.JK,Exploitasi Energi Indonesia Tbk PT,Indonesia,,,,,,"1,731,480,206,000.00","1,741,978,238,000.00","1,375,279,833,000.00","980,326,231,000.00","884,575,360,000.00"
CNTB.JK,Century Textile Industry Tbk PT,Indonesia,,,,,,"533,703,926,200.00","694,956,186,800.00","483,414,449,120.00","267,596,906,280.00","621,372,691,200.00"
COWL.JK,Cowell Development Tbk PT,Indonesia,,,,,,"461,082,871,379.00","418,168,913,163.00","525,324,518,118.00","570,072,055,705.00","583,329,689,427.00"
CPIN.JK,Charoen Pokphand Indonesia Tbk PT,Indonesia,25.92,28.78,27.19,21.03,21.65,"67,477,992,000,000.00","61,615,850,000,000.00","56,867,544,000,000.00","51,698,249,000,000.00","42,518,782,000,000.00"
CPRO.JK,Central Proteina Prima Tbk PT,Indonesia,,,,,,"9,280,242,000,000.00","9,027,276,000,000.00","8,242,343,000,000.00","8,028,078,000,000.00","7,573,506,000,000.00"
CSAP.JK,Catur Sentosa Adiprana Tbk PT,Indonesia,,,,,,"17,276,635,822,000.00","16,454,238,746,000.00","15,447,381,020,000.00","14,236,423,259,000.00","12,659,547,242,000.00"
CTBN.JK,Citra Tubindo Tbk PT,Indonesia,,,,,,"4,085,527,104,400.00","3,205,856,185,550.00","2,011,246,324,010.00","1,336,372,395,750.00","1,771,775,511,480.00"
CTRA.JK,Ciputra Development Tbk PT,Indonesia,44.37,,,,,"11,187,565,000,000.00","9,245,032,000,000.00","9,126,799,000,000.00","9,729,651,000,000.00","8,070,737,000,000.00"
CTTH.JK,Citatah Tbk PT,Indonesia,,,,,,"145,529,362,070.00","99,239,654,190.00","115,113,867,868.00","93,630,426,708.00","102,890,968,412.00"
DART.JK,Duta Anggada Realty Tbk PT,Indonesia,,,,,,"511,558,731,000.00","433,200,487,000.00","330,155,372,000.00","290,570,233,000.00","324,131,001,000.00"
DEFI.JK,Danasupra Erapacific Tbk PT,Indonesia,,,,,,"6,428,745,032.00","1,672,918,103.00","2,895,345,300.00","2,335,232,783.00","3,240,484,238.00"
DEWA.JK,Darma Henwa Tbk PT,Indonesia,,,,,,"6,031,956,702,000.00","7,372,668,455,000.00","6,068,500,852,000.00","4,611,675,413,657.82","4,399,150,002,841.62"
DGIK.JK,Nusa Konstruksi Enjiniring Tbk PT,Indonesia,,,,,,"644,556,733,549.00","462,778,375,826.00","373,043,766,945.00","366,451,807,136.00","478,933,385,858.00"
DILD.JK,Intiland Development Tbk PT,Indonesia,,,,,,"2,553,285,289,717.00","3,906,826,399,192.00","3,148,754,966,275.00","2,628,631,841,339.00","2,891,388,396,351.00"
DKFT.JK,Central Omega Resources Tbk PT,Indonesia,,,,,,"1,461,186,279,340.00","811,659,069,690.00","777,407,701,783.00","1,394,412,951,021.00","1,141,685,024,208.00"
DLTA.JK,Delta Djakarta Tbk PT,Indonesia,,,,,,"646,763,576,000.00","736,838,613,000.00","778,744,315,000.00","681,205,785,000.00","546,336,411,000.00"
DNET.JK,Indoritel Makmur Internasional Tbk PT,Indonesia,,,,,,"1,427,731,000,000.00","1,390,105,000,000.00","1,138,330,000,000.00","844,412,000,000.00","488,887,274,041.00"
DOID.JK,PT BUMA Internasional Grup Tbk,Indonesia,,,,,,"28,259,042,509,720.00","28,223,969,128,290.00","24,183,491,122,505.00","12,975,257,172,750.00","8,447,755,244,760.00"
DPNS.JK,Duta Pertiwi Nusantara Tbk PT,Indonesia,,,,,,"79,445,621,700.00","116,200,535,501.00","200,912,586,007.00","147,210,449,631.00","96,644,910,643.00"
DSFI.JK,Dharma Samudera Fishing Industries Tbk PT,Indonesia,,,,,,"575,976,306,359.00","559,596,238,807.00","552,366,215,890.00","532,522,855,555.00","365,870,902,563.00"
DUTI.JK,Duta Pertiwi Tbk PT,Indonesia,,,,,,"4,422,682,660,248.00","3,862,424,155,689.00","3,017,085,551,871.00","2,177,783,404,033.00","1,724,797,535,246.00"
DVLA.JK,Darya-Varia Laboratoria Tbk PT,Indonesia,,,,,,"2,087,601,399,000.00","1,890,887,506,000.00","1,917,041,442,000.00","1,900,893,602,000.00","1,829,699,557,000.00"
EKAD.JK,Ekadharma International Tbk PT,Indonesia,,,,,,"530,431,613,239.00","518,358,927,118.00","614,476,876,092.00","629,879,334,779.00","671,540,878,728.00"
ELSA.JK,Elnusa Tbk PT,Indonesia,,,,,,"13,393,013,000,000.00","12,564,391,000,000.00","12,305,690,000,000.00","8,136,563,000,000.00","7,726,945,000,000.00"
ELTY.JK,Bakrieland Development Tbk PT,Indonesia,,,,,,"1,226,740,000,000.00","1,273,390,000,000.00","1,027,232,000,000.00","784,410,000,000.00","616,211,000,000.00"
ENRG.JK,Energi Mega Persada Tbk PT,Indonesia,,,,,,"7,520,871,097,930.00","6,477,834,573,480.00","7,034,442,893,610.00","5,786,873,172,750.00","4,561,338,646,800.00"
EPMT.JK,Enseval Putera Megatrading Tbk PT,Indonesia,,,,,,"30,957,341,452,181.00","28,507,872,779,591.00","28,027,488,218,598.00","25,673,756,765,637.00","22,545,419,368,639.00"
ERTX.JK,Eratex Djaja Tbk PT,Indonesia,,,,,,"1,754,873,565,090.00","1,858,224,717,140.00","1,713,457,319,915.00","1,335,241,031,250.00","1,061,962,434,000.00"
ESTI.JK,Ever Shine Tex Tbk PT,Indonesia,,,,,,"415,857,699,160.00","343,775,184,030.00","444,470,373,270.00","437,840,355,750.00","336,231,352,080.00"
ETWA.JK,Eterindo Wahanatama Tbk PT,Indonesia,,,,,,"48,306,825,917.00","3,715,594,629.00","467,391,344.00","224,066,845,068.00","23,910,705,666.00"
EXCL.JK,XLSMART Telecom Sejahtera Tbk PT,Indonesia,61.74,54.82,57.15,63.14,69.06,"34,391,597,000,000.00","32,322,651,000,000.00","29,141,994,000,000.00","26,754,050,000,000.00","26,009,095,000,000.00"
FAST.JK,Fast Food Indonesia Tbk PT,Indonesia,,,,,,"4,875,792,516,000.00","5,935,004,692,000.00","5,857,474,313,000.00","4,840,596,018,000.00","4,840,363,775,000.00"
FASW.JK,Fajar Surya Wisesa Tbk PT,Indonesia,,,,,,"7,698,331,000,000.00","7,723,193,000,000.00","10,890,282,000,000.00","11,932,773,000,000.00","7,909,812,330,437.00"
